loss,accuracy,precision,recall,auc,val_loss,val_accuracy,val_precision,val_recall,val_auc
0.6000087261199951,0.789395809173584,0.84096360206604,0.7447083592414856,0.9781451225280762,0.4306052625179291,0.8487499952316284,0.8997649550437927,0.7974166870117188,0.9902108907699585
0.4202171564102173,0.8491874933242798,0.8782413601875305,0.8227291703224182,0.9885014891624451,0.35206735134124756,0.8729166388511658,0.8995380997657776,0.843916654586792,0.9916133284568787
0.37651297450065613,0.8634583353996277,0.8891458511352539,0.8410208225250244,0.9903979301452637,0.35179153084754944,0.8708333373069763,0.8918190002441406,0.8539166450500488,0.9916566610336304
0.3420020341873169,0.8764791488647461,0.8987782597541809,0.8551874756813049,0.992073655128479,0.3376506268978119,0.8769166469573975,0.89393150806427,0.8617500066757202,0.9920164346694946
0.3271256983280182,0.878291666507721,0.899764358997345,0.859125018119812,0.9928492307662964,0.3313756585121155,0.8806666731834412,0.8985030651092529,0.8653333187103271,0.9918738603591919
0.3095756471157074,0.8862083554267883,0.9062901139259338,0.8683958053588867,0.9935113787651062,0.3118901252746582,0.887499988079071,0.9053633213043213,0.8721666932106018,0.9931765794754028
0.29971548914909363,0.8901458382606506,0.910270631313324,0.8724374771118164,0.9936996698379517,0.3118206560611725,0.8838333487510681,0.901996374130249,0.8697500228881836,0.9925861358642578
0.28297704458236694,0.8947083353996277,0.9132656455039978,0.8787708282470703,0.9944564700126648,0.3058468997478485,0.8880000114440918,0.9039372801780701,0.8743333220481873,0.9929249286651611
0.27364295721054077,0.8987916707992554,0.9159498810768127,0.882937490940094,0.9948155879974365,0.3066275119781494,0.8881666660308838,0.9045239090919495,0.874750018119812,0.9926294684410095
0.2678641676902771,0.9006041884422302,0.9154905080795288,0.8865000009536743,0.9949412941932678,0.3064113259315491,0.8884166479110718,0.9034506678581238,0.874916672706604,0.9931579232215881
0.25526541471481323,0.9036874771118164,0.919371485710144,0.8898749947547913,0.9954329133033752,0.309273362159729,0.8897500038146973,0.9039353728294373,0.8766666650772095,0.9925928711891174
0.24952101707458496,0.9077083468437195,0.9227360486984253,0.893708348274231,0.9957244992256165,0.3064073324203491,0.8921666741371155,0.907167911529541,0.8827499747276306,0.9928520321846008
0.243338480591774,0.9088541865348816,0.9232633709907532,0.8968541622161865,0.9959646463394165,0.29554885625839233,0.8955833315849304,0.9089429378509521,0.8842499852180481,0.9929370284080505
0.23807603120803833,0.9096666574478149,0.9231890439987183,0.8971666693687439,0.9960988759994507,0.29674032330513,0.8934166431427002,0.9091455936431885,0.8814166784286499,0.9934945106506348
0.22969284653663635,0.9127083420753479,0.9261488914489746,0.9005833268165588,0.9963506460189819,0.29383584856987,0.8943333625793457,0.9075608849525452,0.8852499723434448,0.9929525256156921
0.22482028603553772,0.9160208106040955,0.9284919500350952,0.9040416479110718,0.996444821357727,0.29807132482528687,0.8949166536331177,0.9079014658927917,0.8847500085830688,0.9930362105369568
0.2178599089384079,0.918874979019165,0.9306179285049438,0.9067708253860474,0.9966539144515991,0.2944054901599884,0.8984166383743286,0.9106302857398987,0.887333333492279,0.9925533533096313
0.212960347533226,0.9197291731834412,0.9320114254951477,0.9087499976158142,0.9966689944267273,0.2954433262348175,0.8930000066757202,0.9067202210426331,0.8837500214576721,0.9930576086044312
0.20646537840366364,0.9227291941642761,0.9338156580924988,0.9115208387374878,0.9969341158866882,0.2845410704612732,0.9010000228881836,0.9132100939750671,0.8934999704360962,0.9929503202438354
0.20383569598197937,0.9240208268165588,0.9343466758728027,0.9143750071525574,0.9969465732574463,0.301167368888855,0.8987500071525574,0.9090057611465454,0.8899166584014893,0.9920858144760132
0.19812221825122833,0.9244375228881836,0.9348084926605225,0.9153333306312561,0.9971187710762024,0.2956250011920929,0.8986666798591614,0.9103460311889648,0.8901666402816772,0.9922889471054077
0.19118192791938782,0.9271458387374878,0.9369388818740845,0.9174583554267883,0.99727863073349,0.2912960946559906,0.9000833630561829,0.9091295003890991,0.8920833468437195,0.992195725440979
0.19072434306144714,0.9268541932106018,0.9373219013214111,0.9181458353996277,0.9973131418228149,0.2985115647315979,0.9020000100135803,0.911817193031311,0.8944166898727417,0.9919165372848511
0.18491190671920776,0.9308124780654907,0.939958393573761,0.9220208525657654,0.9975581765174866,0.29361116886138916,0.8997499942779541,0.9083128571510315,0.8932499885559082,0.9923496842384338
0.18088549375534058,0.9311249852180481,0.9399872422218323,0.9231458306312561,0.9975550174713135,0.30309104919433594,0.8985000252723694,0.9096011519432068,0.8913333415985107,0.9921891093254089
0.178715318441391,0.9333124756813049,0.9416977763175964,0.9253749847412109,0.9976223707199097,0.29167863726615906,0.8993333578109741,0.9086199402809143,0.8915833234786987,0.9922323226928711
0.17545051872730255,0.934416651725769,0.9425392150878906,0.926437497138977,0.997620701789856,0.2926507294178009,0.9016666412353516,0.9125776290893555,0.8942499756813049,0.9922234416007996
0.16870887577533722,0.9366666674613953,0.9445526599884033,0.92947918176651,0.9979456067085266,0.2919633686542511,0.8994166851043701,0.9104757308959961,0.8915833234786987,0.9924482703208923
0.16594989597797394,0.9375208616256714,0.9456825852394104,0.9300000071525574,0.9980012774467468,0.29497143626213074,0.9010000228881836,0.9110280871391296,0.8942499756813049,0.9922229051589966
